source,count,mean,std,max,min,sum
UBC,6753,0.5287772134267756,0.13246959513747675,0.935012238275,0.279930415944,3570.832522271016
APP,1984,0.2879416004207878,0.04066622879503945,0.705007195203,0.246743830368,571.276135234843
SUMO2,713,0.42929488983614866,0.08648447907072412,0.818354683017,0.246936166436,306.087256453174
TP53,627,0.41761241134846405,0.12411842614409203,0.99,0.246936166436,261.842981915487
tat,436,0.321098194883094,0.08569679819451557,0.770889481998,0.246743830368,139.998812969029
EGFR,428,0.41181828720714014,0.12701228678834373,0.99,0.246936166436,176.258226924656
EP300,418,0.3964885647213349,0.11919964371660961,0.831285544277,0.246936166436,165.732220053518
BRCA1,407,0.3850769682698894,0.12419729026995938,0.832451049191,0.246743830368,156.726326085845
HDAC1,394,0.4243917285258756,0.12154713351247205,0.99,0.246936166436,167.210341039195
GRB2,392,0.36103275285618874,0.09160795538632502,0.743959330348,0.279930415944,141.524839119626
UBE2I,387,0.34702105444101033,0.09786107145030891,0.99,0.246936166436,134.297148068671
CSNK2A1,362,0.32963456467634805,0.07651460198180086,0.691677379233,0.246936166436,119.327712412838
SUMO1,352,0.40349219364850003,0.09115315245557533,0.785320481971,0.246936166436,142.029252164272
ESR1,352,0.41496945925623013,0.13825834784294924,0.99,0.246936166436,146.069249658193
KRT40,341,0.3931934199667449,0.09616327354542586,0.593777419121,0.279930415944,134.07895620866
MDM2,326,0.4315081316542791,0.1279413156128129,0.872160128546,0.279641111567,140.671650919295
SRC,318,0.38671722842286166,0.10396443267389073,0.745886453919,0.246936166436,122.97607863847
GOLGA2,312,0.39833076736407375,0.0976046693847195,0.638447632444,0.246936166436,124.279199417591
HSP90AA1,309,0.40663369215287054,0.1146170456418896,0.816383461715,0.279930415944,125.649810875237
TRAF2,308,0.4030215186333214,0.11030311233514625,0.858889784348,0.279930415944,124.130627739063
Dlg4,288,0.28464248537118053,0.03427269133090835,0.703475666565,0.246936166436,81.97703578689999
CTNNB1,284,0.4281683053523239,0.1232512147508327,0.99,0.279641111567,121.59979872006
KRTAP10-3,281,0.279930415944,0.0,0.279930415944,0.279930415944,78.66044688026399
CREBBP,280,0.389391753740175,0.10138825466105124,0.816658662276,0.246936166436,109.029691047249
IKBKG,279,0.3635790650572975,0.1295150632159449,0.99,0.279930415944,101.438559150986
AR,278,0.41678323884246044,0.11977633993450454,0.854535517875,0.246936166436,115.865740398204
SMAD3,274,0.36885276233369707,0.09744428270433823,0.776997106923,0.246936166436,101.06565687943299
TRIM27,272,0.3867849352904706,0.09796371699090152,0.703550757925,0.279930415944,105.205502399008
NEDD4,271,0.3562249590381919,0.11480853752344872,0.99,0.279930415944,96.53696389935
KDM1A,267,0.3406323224126517,0.10210550757622787,0.826523843715,0.279930415944,90.948830084178
YWHAQ,267,0.3499694126257528,0.09717966548597835,0.750399840091,0.279930415944,93.441833171076
CALM3,266,0.35695807062825186,0.10259854031542369,0.798118135862,0.246743830368,94.950846787115
PPP1CA,263,0.3486788892840152,0.09323445205402503,0.742544894415,0.246936166436,91.70254788169599
ATXN1,260,0.3418471752298346,0.09635092241737041,0.714694809551,0.279930415944,88.88026555975699
NOTCH2NL,256,0.3857825187625234,0.09476180906329802,0.471716454681,0.279930415944,98.76032480320599
UBE2D1,247,0.367684517988081,0.13050358928568015,0.857027381019,0.246936166436,90.818075943056
GSK3B,246,0.34003292813223573,0.10429294721445519,0.99,0.246936166436,83.64810032052999
YWHAZ,237,0.38681560767127426,0.11732733732281904,0.818683046372,0.246936166436,91.675299018092
RELA,236,0.38867759825288556,0.11111782993842786,0.816105281646,0.246936166436,91.727913187681
EEF1A1,236,0.3246106669612288,0.06930049659289268,0.78810785066,0.279930415944,76.60811740285
MDFI,234,0.4140838516324872,0.10389201812941433,0.676545067409,0.279930415944,96.895621282002
ILF3,231,0.341096266133697,0.05769297216668407,0.724822338742,0.279930415944,78.793237476884
LNX1,228,0.3588592368702587,0.0980264000240533,0.654579760226,0.279930415944,81.81990600641899
